TicketPrice,ReturnTrip,TripType,Age,Gender,TravelTime,Region
73.22,No,Full,23,Female,AM,Europe
84.55,No,Half,53,Male,AM,Europe
22.38,No,Full,37,Male,PM,International
50.87,No,Full,77,Other,PM,Europe
32.7,No,Full,41,Female,AM,Europe
44.5,No,Full,51,Male,AM,International
64.01,No,Half,67,Other,PM,International
81.66,Yes,Half,38,Female,PM,International
17.18,Yes,Half,21,Male,AM,Europe
20.05,No,Full,59,Male,AM,International
42.03,No,Full,29,Female,AM,International
81.08,No,Full,78,Male,PM,Europe
102.35,No,Full,32,Male,AM,Europe
68.62,No,Full,59,Male,AM,Europe
103.26,No,Full,77,Female,PM,Europe
49.26,No,Half,54,Female,AM,Europe
41.43,No,Full,23,Male,PM,International
45.74,No,Full,52,Male,AM,Europe
24.67,No,Full,51,Male,AM,International
100.35,No,Full,42,Male,AM,International
43.95,Yes,Full,55,Male,PM,Europe
68.52,Yes,Full,33,Female,AM,International
71.53,Yes,Full,64,Male,PM,Europe
64.98,Yes,Full,77,Female,AM,International
5.31,No,Full,65,Male,PM,International
118.66,No,Full,45,Male,AM,International
109.11,Yes,Half,52,Female,PM,Europe
28.88,No,Full,34,Female,AM,Europe
38.64,No,Half,74,Female,PM,Europe
64.8,No,Full,80,Other,AM,Europe
108.72,No,Half,69,Female,AM,Europe
118.12,No,Full,57,Male,PM,Europe
34.62,No,Full,40,Female,AM,Europe
69.9,Yes,Full,77,Male,AM,International
97.8,No,Full,19,Male,AM,Europe
50.35,No,Full,80,Male,PM,Europe
89.07,Yes,Full,37,Female,AM,Europe
23.52,Yes,Full,49,Female,PM,Europe
74.08,No,Full,60,Male,PM,Europe
104.57,No,Full,49,Female,PM,International
118.1,No,Half,53,Female,PM,International
14.13,Yes,Full,32,Female,AM,Europe
54.26,No,Half,26,Male,PM,International
28.52,Yes,Full,23,Male,AM,Europe
56.82,Yes,Half,49,Male,PM,Europe
67.99,Yes,Half,36,Female,AM,Europe
15.73,No,Full,62,Male,PM,Europe
39.14,No,Full,32,Male,PM,Europe
111.67,Yes,Full,20,Female,PM,Europe
70.44,No,Full,67,Male,PM,Europe
57.6,No,Full,27,Male,AM,Europe
91.66,No,Full,77,Female,AM,Europe
90.31,Yes,Half,67,Male,AM,Europe
10.59,No,Half,38,Male,AM,Europe
86.5,No,Full,66,Male,AM,Europe
101.51,Yes,Full,36,Male,PM,International
24.08,No,Full,66,Male,AM,International
94.81,Yes,Full,20,Female,PM,International
37.95,No,Full,77,Male,AM,Europe
40.24,No,Full,41,Female,PM,Europe
81.51,No,Full,69,Female,PM,Europe
17.81,Yes,Full,29,Female,PM,Europe
81.46,No,Half,30,Female,AM,Europe
107.1,No,Half,69,Male,AM,Europe
85.08,Yes,Full,76,Male,PM,Europe
55.64,No,Full,41,Female,AM,International
55.39,No,Half,68,Male,AM,Europe
92.99,Yes,Full,57,Other,PM,Europe
70.05,Yes,Full,42,Female,AM,Europe
14.76,No,Full,24,Male,PM,Europe
72.01,Yes,Full,69,Male,PM,International
98.71,No,Full,23,Female,AM,Europe
43.76,No,Full,33,Female,AM,Europe
111.67,No,Full,61,Male,PM,Europe
91.33,Yes,Full,76,Male,PM,International
71.02,No,Full,54,Male,PM,Europe
91.44,No,Full,20,Female,PM,International
14.1,No,Half,53,Female,AM,Europe
103.83,No,Full,34,Male,PM,Europe
99.47,No,Full,78,Male,PM,International
109.64,No,Full,74,Female,PM,Europe
19.79,No,Full,65,Female,PM,Europe
14.4,No,Full,52,Female,AM,Europe
20.92,Yes,Full,31,Female,AM,Europe
50.93,Yes,Full,28,Female,PM,International
53.8,No,Half,39,Male,AM,Europe
69.66,No,Half,76,Other,PM,International
19.06,Yes,Full,75,Male,PM,Europe
28.16,Yes,Full,66,Male,AM,Europe
98.34,No,Full,68,Female,PM,Europe
58.82,No,Full,44,Female,AM,Europe
97.91,Yes,Full,19,Female,PM,International
5.85,Yes,Full,24,Female,AM,Europe
68.43,No,Full,28,Female,AM,Europe
112.17,No,Half,52,Female,AM,Europe
71.95,No,Full,52,Female,PM,Europe
28.7,No,Full,63,Male,PM,Europe
87.54,No,Full,27,Female,AM,Europe
48.58,No,Full,46,Male,AM,Europe
81.86,Yes,Half,35,Female,PM,International
8.37,No,Full,69,Male,AM,Europe
78.13,No,Full,71,Male,AM,International
8.7,Yes,Full,23,Female,PM,Europe
90.65,No,Full,23,Male,PM,Europe
59.38,Yes,Full,76,Male,PM,Europe
19.0,No,Full,69,Male,AM,International
67.4,No,Full,35,Female,AM,International
12.68,No,Half,55,Male,AM,International
80.14,No,Half,36,Male,PM,International
119.55,No,Full,38,Male,PM,Europe
93.48,Yes,Full,30,Male,AM,International
70.98,No,Half,79,Female,AM,Europe
16.8,Yes,Half,53,Female,PM,Europe
85.48,Yes,Full,30,Male,PM,Europe
81.03,No,Half,23,Female,AM,International
10.65,No,Half,79,Female,PM,International
96.11,Yes,Full,31,Male,PM,Europe
64.65,No,Full,33,Male,AM,International
53.97,Yes,Full,40,Male,AM,Europe
95.64,No,Full,48,Male,PM,Europe
52.33,Yes,Full,23,Male,PM,Europe
60.32,No,Full,33,Male,PM,Europe
25.89,Yes,Full,77,Male,PM,Europe
41.95,Yes,Half,34,Female,AM,Europe
102.24,No,Full,31,Male,AM,International
26.49,No,Full,43,Female,AM,Europe
52.99,Yes,Full,75,Female,PM,Europe
118.74,No,Half,57,Male,PM,International
32.21,No,Full,79,Female,AM,Europe
110.44,No,Half,23,Male,AM,International
110.62,No,Full,68,Female,PM,International
15.5,Yes,Half,43,Male,PM,Europe
58.32,No,Full,59,Male,AM,Europe
62.75,Yes,Full,22,Male,PM,International
41.07,Yes,Full,70,Male,PM,Europe
10.44,No,Full,74,Male,AM,Europe
32.79,Yes,Full,27,Male,AM,Europe
15.99,No,Full,31,Other,PM,Europe
32.4,Yes,Full,48,Female,AM,Europe
97.9,No,Half,26,Female,PM,Europe
107.92,Yes,Full,23,Male,AM,Europe
9.97,No,Full,40,Female,AM,International
39.72,No,Full,64,Male,AM,Europe
117.77,No,Full,39,Male,PM,Europe
67.04,Yes,Half,37,Male,AM,Europe
77.03,Yes,Half,74,Female,PM,International
5.64,Yes,Full,80,Female,PM,International
60.76,Yes,Half,59,Other,AM,International
118.66,Yes,Full,42,Female,AM,Europe
48.15,No,Full,19,Male,PM,Europe
16.16,No,Full,43,Female,AM,International
58.12,Yes,Full,78,Male,AM,Europe
115.75,No,Full,42,Male,PM,International
44.31,Yes,Half,56,Male,AM,Europe
96.88,No,Half,78,Female,PM,Europe
96.87,No,Full,73,Female,AM,Europe
28.95,Yes,Half,35,Female,PM,Europe
55.99,Yes,Full,54,Female,PM,International
87.29,No,Full,66,Female,AM,International
52.21,No,Half,47,Female,PM,Europe
26.97,No,Half,53,Female,PM,International
116.26,No,Full,80,Female,AM,Europe
79.84,No,Full,36,Male,PM,International
104.53,Yes,Full,55,Female,PM,Europe
7.9,No,Half,51,Male,AM,Europe
35.69,Yes,Half,52,Female,PM,Europe
62.74,Yes,Half,52,Female,AM,International
12.76,Yes,Half,26,Female,AM,Europe
119.2,No,Full,43,Male,AM,Europe
32.19,Yes,Half,27,Female,AM,Europe
48.04,No,Half,61,Male,AM,Europe
29.61,No,Full,59,Male,PM,Europe
17.13,No,Half,20,Female,PM,Europe
31.74,No,Full,78,Male,AM,International
39.57,Yes,Half,64,Female,PM,Europe
77.96,No,Full,74,Male,AM,International
37.34,No,Full,33,Female,AM,Europe
46.66,Yes,Half,50,Other,PM,International
5.68,Yes,Full,29,Male,PM,International
47.06,No,Full,69,Female,PM,Europe
66.4,No,Full,64,Female,PM,Europe
23.63,Yes,Half,52,Female,AM,Europe
73.7,No,Half,38,Male,AM,Europe
38.71,No,Half,71,Male,AM,International
77.69,Yes,Full,55,Male,PM,International
8.01,Yes,Full,34,Male,PM,International
107.07,Yes,Half,78,Male,AM,Europe
6.85,No,Half,25,Female,AM,International
19.6,No,Half,47,Male,AM,Europe
94.37,Yes,Full,59,Female,PM,International
10.28,Yes,Half,35,Female,PM,Europe
86.76,Yes,Half,69,Male,PM,Europe
116.67,No,Half,25,Male,AM,Europe
105.24,No,Half,43,Male,AM,Europe
86.67,No,Full,59,Female,AM,International
115.23,Yes,Full,48,Female,AM,Europe
54.43,No,Half,30,Other,AM,Europe
105.38,Yes,Full,27,Male,PM,International
45.94,Yes,Full,74,Female,AM,International
111.92,No,Full,46,Male,AM,International
22.11,No,Full,71,Other,AM,Europe
113.1,Yes,Full,55,Other,PM,Europe
100.76,No,Full,21,Female,PM,Europe
102.3,Yes,Full,20,Male,PM,Europe
19.25,No,Full,72,Female,AM,International
73.6,No,Full,70,Female,PM,International
6.89,No,Full,22,Female,PM,International
87.94,Yes,Full,78,Male,AM,International
5.89,No,Half,79,Female,PM,Europe
14.75,No,Full,50,Male,AM,International
30.93,Yes,Full,24,Male,AM,Europe
105.64,No,Half,57,Female,AM,International
46.81,No,Half,54,Female,PM,International
67.1,No,Full,54,Male,AM,International
70.33,No,Full,72,Male,AM,International
30.93,Yes,Full,77,Female,AM,Europe
70.8,Yes,Half,23,Female,PM,International
81.01,No,Half,41,Male,AM,Europe
39.3,Yes,Full,60,Male,PM,International
53.14,No,Half,18,Male,AM,Europe
57.11,No,Half,56,Female,AM,Europe
112.22,No,Full,57,Female,PM,Europe
72.56,Yes,Half,77,Female,PM,Europe
114.05,No,Full,44,Male,AM,Europe
68.94,No,Full,77,Female,AM,International
62.56,No,Full,19,Male,PM,International
5.41,No,Full,58,Male,PM,International
60.3,Yes,Full,32,Male,AM,International
111.66,No,Full,80,Male,PM,Europe
27.81,No,Full,66,Male,PM,Europe
10.99,No,Full,61,Male,PM,Europe
51.78,No,Full,38,Male,PM,Europe
47.83,No,Half,70,Male,AM,International
103.57,No,Half,61,Female,PM,International
8.06,No,Full,36,Male,AM,International
110.82,Yes,Full,41,Other,AM,Europe
83.3,Yes,Full,64,Male,PM,Europe
108.99,No,Full,62,Female,AM,Europe
74.87,No,Half,22,Female,AM,Europe
98.37,Yes,Full,23,Female,PM,International
43.59,Yes,Full,44,Other,AM,International
45.2,Yes,Full,52,Male,AM,Europe
49.84,No,Full,72,Male,AM,International
91.8,Yes,Full,64,Male,AM,Europe
47.47,Yes,Full,68,Female,PM,Europe
32.86,Yes,Half,24,Female,AM,International
112.83,Yes,Full,53,Male,PM,Europe
109.42,No,Half,55,Male,PM,Europe
45.11,No,Full,48,Female,PM,Europe
77.98,No,Half,65,Female,AM,Europe
36.49,No,Full,36,Male,AM,International
28.7,No,Half,31,Male,AM,Europe
43.68,No,Full,51,Male,AM,International
42.62,Yes,Full,75,Female,AM,International
106.46,No,Full,65,Male,PM,Europe
99.56,Yes,Full,55,Female,PM,International
86.61,Yes,Half,64,Female,AM,Europe
115.32,No,Full,26,Female,AM,Europe
53.59,Yes,Full,49,Female,AM,International
33.18,No,Full,19,Female,PM,International
18.5,No,Full,50,Female,PM,Europe
39.62,Yes,Half,18,Female,PM,Europe
21.71,No,Full,49,Female,PM,International
15.6,No,Full,41,Female,AM,Europe
74.34,Yes,Full,45,Male,AM,International
46.88,No,Half,37,Female,PM,Europe
69.93,Yes,Full,74,Female,PM,Europe
27.0,Yes,Full,63,Female,PM,Europe
82.84,Yes,Full,35,Male,PM,International
29.78,Yes,Full,50,Female,AM,International
36.97,Yes,Half,26,Male,PM,Europe
90.3,Yes,Full,22,Male,PM,Europe
69.37,No,Half,39,Female,AM,Europe
43.51,No,Full,69,Male,PM,International
67.44,Yes,Full,45,Male,AM,International
84.81,Yes,Full,25,Male,AM,International
109.9,No,Half,21,Female,PM,Europe
71.78,No,Half,31,Female,PM,International
31.76,No,Full,29,Female,AM,International
90.87,Yes,Full,76,Female,PM,Europe
94.44,No,Full,59,Male,PM,International
28.05,Yes,Full,72,Female,PM,International
99.37,No,Half,41,Female,AM,Europe
58.47,No,Full,74,Female,AM,International
94.67,Yes,Half,47,Male,PM,Europe
32.31,Yes,Full,24,Male,AM,International
43.25,No,Full,79,Male,AM,International
114.68,Yes,Full,55,Male,PM,Europe
80.65,Yes,Full,21,Male,AM,Europe
93.88,Yes,Full,48,Male,PM,Europe
84.16,No,Full,20,Female,AM,Europe
28.49,No,Full,61,Female,PM,Europe
59.13,Yes,Full,35,Female,AM,International
98.03,No,Full,51,Male,AM,Europe
82.63,No,Full,34,Male,AM,Europe
5.69,No,Full,57,Female,PM,Europe
15.05,No,Half,61,Male,AM,Europe
44.88,No,Full,32,Male,PM,Europe
113.6,No,Full,77,Male,AM,Europe
61.49,Yes,Full,65,Female,PM,Europe
36.07,No,Full,63,Male,PM,International
46.45,Yes,Full,73,Male,AM,Europe
29.23,No,Full,45,Male,AM,Europe
53.44,No,Full,68,Male,AM,Europe
30.07,Yes,Full,28,Male,PM,Europe
102.26,No,Full,18,Female,AM,Europe
57.47,No,Full,41,Female,AM,Europe
37.18,No,Half,41,Female,AM,Europe
112.28,No,Full,67,Male,AM,Europe
41.15,No,Full,62,Male,AM,Europe
109.62,Yes,Half,63,Other,PM,International
9.99,No,Full,48,Female,PM,Europe
86.32,No,Full,29,Female,AM,Europe
60.65,Yes,Full,46,Female,PM,Europe
56.09,Yes,Full,40,Female,AM,Europe
9.18,No,Full,35,Female,PM,Europe
9.68,Yes,Full,61,Male,PM,International
43.27,No,Full,43,Female,AM,International
113.92,No,Full,67,Male,AM,International
76.03,Yes,Full,62,Male,PM,Europe
47.42,Yes,Half,26,Female,PM,Europe
75.38,Yes,Half,60,Female,PM,Europe
28.71,No,Full,66,Male,AM,Europe
23.98,No,Half,64,Male,PM,Europe
46.61,No,Half,25,Female,AM,Europe
104.29,Yes,Full,46,Male,AM,International
63.58,No,Full,52,Female,AM,Europe
39.14,Yes,Full,38,Female,AM,International
114.28,No,Half,30,Male,PM,International
98.84,Yes,Half,70,Other,PM,Europe
42.14,Yes,Full,78,Male,AM,Europe
116.79,No,Full,31,Female,AM,International
118.55,Yes,Full,46,Male,PM,Europe
52.0,No,Full,39,Female,PM,Europe
80.43,No,Half,58,Female,PM,Europe
51.65,No,Full,76,Female,PM,Europe
34.6,No,Full,20,Male,PM,Europe
14.51,No,Full,25,Male,AM,International
35.32,No,Full,44,Male,PM,International
36.22,No,Full,41,Female,AM,Europe
50.84,Yes,Full,60,Male,PM,International
26.26,Yes,Full,52,Male,AM,Europe
114.69,No,Full,45,Male,AM,Europe
16.83,Yes,Full,32,Female,AM,Europe
76.9,No,Full,52,Male,PM,International
55.8,Yes,Full,28,Female,PM,Europe
53.7,No,Full,36,Male,AM,Europe
47.78,Yes,Half,78,Other,PM,International
104.86,No,Full,44,Female,AM,Europe
37.25,No,Half,52,Female,AM,Europe
7.37,No,Half,69,Female,PM,Europe
110.58,Yes,Full,50,Male,AM,Europe
104.42,Yes,Full,32,Female,PM,Europe
36.84,Yes,Half,44,Female,AM,Europe
65.2,Yes,Full,47,Other,AM,International
17.55,No,Full,23,Female,AM,International
15.74,No,Full,65,Female,PM,Europe
101.31,No,Full,62,Male,AM,Europe
52.18,No,Half,36,Female,PM,Europe
81.1,No,Half,63,Female,PM,International
113.47,Yes,Full,31,Male,AM,Europe
33.19,Yes,Full,55,Female,AM,International
6.51,No,Full,67,Male,PM,Europe
7.78,Yes,Half,49,Male,PM,Europe
86.58,Yes,Full,53,Female,AM,Europe
111.32,No,Full,74,Male,PM,International
58.74,Yes,Half,47,Female,AM,Europe
48.14,No,Full,75,Male,AM,Europe
67.43,No,Full,69,Male,AM,International
103.78,No,Full,76,Female,AM,International
80.0,Yes,Full,47,Male,AM,Europe
31.79,No,Half,21,Male,AM,Europe
94.08,No,Half,41,Male,PM,Europe
20.48,No,Full,63,Female,AM,Europe
24.04,No,Full,80,Male,AM,Europe
75.46,Yes,Full,65,Female,PM,Europe
32.46,No,Full,58,Female,PM,Europe
86.05,No,Full,33,Female,AM,Europe
45.19,Yes,Full,63,Female,PM,Europe
36.9,No,Full,56,Male,PM,Europe
119.88,Yes,Full,62,Female,AM,International
9.67,Yes,Half,27,Male,AM,Europe
79.27,Yes,Full,43,Female,PM,Europe
9.45,No,Full,37,Male,AM,International
92.42,No,Half,70,Male,PM,Europe
31.46,No,Full,63,Male,AM,International
15.33,No,Full,33,Male,AM,Europe
79.57,Yes,Half,80,Female,AM,International
89.25,No,Full,40,Female,AM,International
82.98,Yes,Full,58,Male,AM,International
10.97,No,Full,23,Female,AM,International
38.85,Yes,Full,52,Male,PM,Europe
56.88,Yes,Full,74,Female,AM,International
38.02,No,Half,49,Male,PM,International
98.21,No,Full,76,Male,AM,Europe
20.08,Yes,Full,36,Male,PM,Europe
75.4,No,Full,20,Male,PM,Europe
118.64,No,Full,58,Male,PM,International
108.79,No,Full,39,Female,PM,International
30.55,No,Half,22,Male,AM,Europe
5.01,Yes,Full,68,Male,PM,Europe
117.77,No,Half,76,Male,AM,Europe
106.51,Yes,Full,28,Female,AM,International
110.74,No,Half,71,Male,PM,Europe
52.78,No,Full,68,Female,PM,Europe
90.63,No,Full,68,Male,PM,Europe
29.48,Yes,Half,26,Female,AM,Europe
50.11,No,Half,41,Male,PM,Europe
102.93,No,Half,31,Female,PM,Europe
19.68,No,Full,24,Female,PM,Europe
107.79,Yes,Half,35,Female,AM,Europe
62.1,Yes,Full,64,Male,PM,Europe
54.0,Yes,Full,32,Male,AM,Europe
40.15,Yes,Full,35,Female,PM,International
110.44,No,Full,39,Female,AM,Europe
64.53,Yes,Half,35,Female,PM,International
97.46,Yes,Full,28,Female,PM,Europe
103.63,Yes,Full,28,Female,PM,Europe
111.07,No,Half,66,Male,PM,Europe
39.89,No,Full,54,Male,AM,Europe
44.08,Yes,Full,58,Female,AM,Europe
73.43,Yes,Half,67,Male,AM,Europe
55.75,No,Full,67,Male,PM,Europe
112.28,Yes,Half,78,Female,AM,International
50.72,No,Full,34,Female,PM,International
59.94,No,Full,25,Male,AM,Europe
75.98,No,Full,67,Female,AM,Europe
51.55,Yes,Full,20,Female,AM,Europe
119.14,No,Full,56,Male,PM,Europe
16.37,Yes,Full,35,Female,AM,Europe
30.37,No,Full,29,Female,PM,Europe
42.11,No,Full,24,Female,AM,Europe
21.99,Yes,Full,22,Female,PM,Europe
37.69,Yes,Full,50,Male,PM,International
94.61,No,Full,79,Female,PM,Europe
65.13,No,Full,19,Male,PM,Europe
8.9,No,Full,18,Female,AM,Europe
118.0,No,Full,49,Female,AM,Europe
75.84,No,Full,66,Male,AM,Europe
11.78,Yes,Half,69,Female,AM,Europe
81.03,No,Half,57,Female,PM,International
48.51,No,Half,73,Female,PM,International
20.6,Yes,Half,80,Female,AM,International
69.82,No,Full,26,Male,PM,Europe
88.61,Yes,Half,41,Male,AM,Europe
82.18,Yes,Full,66,Male,AM,Europe
33.46,No,Full,26,Male,PM,Europe
65.36,No,Full,29,Male,PM,Europe
66.83,Yes,Full,73,Male,PM,Europe
87.43,Yes,Full,32,Male,AM,Europe
46.38,Yes,Half,38,Male,PM,International
96.74,Yes,Full,24,Female,AM,International
77.21,Yes,Half,61,Female,PM,International
9.41,Yes,Full,74,Male,PM,International
67.85,No,Full,67,Male,AM,International
104.12,Yes,Half,32,Female,PM,Europe
70.27,Yes,Full,24,Male,AM,Europe
25.22,Yes,Full,69,Male,PM,Europe
63.69,No,Full,40,Male,PM,Europe
92.05,No,Full,68,Female,PM,Europe
17.66,Yes,Full,51,Female,PM,Europe
98.97,No,Full,50,Female,PM,Europe
24.26,No,Full,24,Female,AM,Europe
66.42,Yes,Half,77,Female,AM,Europe
49.36,No,Full,30,Female,PM,International
33.59,No,Full,41,Male,AM,International
79.45,Yes,Full,71,Female,PM,Europe
9.3,No,Full,52,Male,AM,Europe
92.41,No,Full,63,Male,AM,Europe
65.6,Yes,Full,31,Male,AM,Europe
105.71,No,Full,66,Other,PM,International
64.88,No,Half,50,Female,AM,Europe
9.03,Yes,Full,35,Female,PM,International
21.51,Yes,Full,72,Male,AM,Europe
96.49,Yes,Half,42,Male,PM,Europe
61.58,No,Full,42,Female,AM,Europe
55.82,Yes,Full,21,Male,PM,International
41.62,No,Half,65,Female,AM,Europe
37.72,No,Full,36,Female,PM,Europe
116.08,No,Full,71,Male,PM,Europe
54.79,Yes,Full,68,Male,PM,Europe
106.66,Yes,Full,47,Female,AM,Europe
79.54,Yes,Full,47,Male,PM,Europe
103.72,No,Full,52,Female,AM,International
103.03,No,Full,77,Female,AM,Europe
114.98,Yes,Full,18,Female,AM,Europe
85.26,No,Half,58,Male,AM,Europe
97.62,No,Full,50,Female,AM,Europe
89.31,No,Full,21,Male,AM,Europe
74.6,Yes,Full,66,Female,AM,Europe
87.5,No,Half,47,Male,AM,Europe
87.31,No,Full,24,Male,AM,Europe
9.7,No,Half,32,Male,AM,Europe
64.35,No,Half,52,Female,PM,Europe
96.15,Yes,Full,68,Male,AM,Europe
32.94,Yes,Full,40,Male,AM,Europe
58.49,No,Half,58,Male,AM,Europe
55.02,No,Half,42,Female,AM,International
51.32,No,Half,50,Male,AM,Europe
19.01,No,Full,52,Female,PM,International
65.46,Yes,Full,78,Male,PM,Europe
56.32,No,Full,77,Male,PM,Europe
81.29,Yes,Half,25,Female,AM,Europe
68.18,Yes,Full,50,Male,PM,Europe
8.17,Yes,Full,65,Female,PM,Europe
8.67,Yes,Full,24,Female,PM,International
85.66,No,Half,18,Female,AM,Europe
86.37,No,Full,28,Female,AM,International
115.39,No,Half,54,Male,AM,Europe
105.82,Yes,Half,68,Female,PM,Europe
58.83,Yes,Full,36,Male,PM,Europe
76.98,No,Full,27,Male,PM,International
57.58,No,Full,24,Male,AM,International
30.64,Yes,Full,28,Male,AM,Europe
48.32,Yes,Half,34,Female,PM,Europe
16.95,No,Full,70,Male,AM,Europe
81.65,No,Full,77,Female,AM,Europe
27.08,No,Full,44,Female,PM,Europe
59.68,Yes,Full,69,Male,AM,Europe
116.26,No,Full,72,Female,AM,Europe
8.64,Yes,Full,24,Female,AM,International
22.45,Yes,Full,41,Male,PM,International
39.34,Yes,Full,75,Male,AM,Europe
113.31,Yes,Full,34,Male,AM,Europe
109.52,No,Full,61,Female,PM,Europe
23.63,No,Half,68,Male,PM,International
117.83,No,Half,70,Female,AM,International
91.34,No,Half,63,Female,PM,International
67.1,No,Half,37,Male,PM,Europe
112.15,No,Full,57,Male,PM,Europe
106.27,No,Half,72,Female,AM,Europe
50.0,No,Half,69,Female,PM,Europe
80.48,Yes,Full,56,Female,AM,International
79.45,No,Half,44,Male,AM,International
42.6,Yes,Half,43,Female,PM,Europe
25.63,No,Full,47,Male,AM,Europe
58.68,Yes,Full,24,Male,AM,International
35.28,Yes,Full,43,Male,PM,Europe
45.83,No,Full,68,Male,PM,International
114.73,No,Full,58,Female,AM,Europe
58.03,Yes,Full,43,Female,AM,Europe
83.76,Yes,Half,72,Male,AM,Europe
43.67,No,Full,72,Male,AM,Europe
119.52,Yes,Full,63,Female,AM,Europe
80.76,Yes,Half,72,Male,PM,Europe
27.54,No,Full,19,Male,AM,International
16.29,No,Half,78,Female,PM,Europe
113.47,No,Half,44,Female,PM,Europe
113.65,No,Full,33,Female,PM,Europe
76.45,No,Full,56,Male,AM,Europe
6.95,No,Half,30,Female,PM,Europe
30.94,No,Full,74,Male,AM,Europe
97.15,Yes,Full,60,Male,PM,Europe
105.68,No,Full,65,Female,AM,Europe
57.21,Yes,Full,72,Male,AM,International
47.03,Yes,Full,72,Male,PM,International
36.54,No,Full,50,Female,AM,Europe
18.45,No,Full,53,Male,AM,Europe
18.31,No,Full,56,Male,PM,Europe
114.55,Yes,Full,69,Female,PM,Europe
97.99,No,Full,41,Female,PM,International
23.95,Yes,Full,31,Other,PM,Europe
28.81,No,Half,75,Male,AM,Europe
80.39,No,Full,41,Male,PM,Europe
